h,2009,2010,2011,2012,2013,2014,2015,2016,2017
132.0,63529.51537371893,69222.04136116942,67900.23836064864,66295.13452167077,52022.24654467535,66223.14967112709,66783.26518616347,68147.47369021997,69721.7762265284
133.0,62583.78945818612,68139.36752937593,66533.84819351145,64621.17288288789,50623.167676239216,65175.50814994289,65315.355591244974,66997.85490334338,68547.75740019308
134.0,62135.70064171499,67697.87839956183,65725.40963671589,63725.56432097737,50727.054081320835,64619.139303255746,65007.715967604876,66581.48984761465,68537.08450177185
135.0,63650.154670461154,68425.41794355866,66698.33103817863,65474.346126403645,53342.281409245035,66171.27615891311,66789.37723166625,67850.07007898517,70427.25481217171
136.0,68376.62997496911,71808.36887959135,70320.17877467365,69932.287995664,57328.357604224504,70040.42989346136,71161.52711465735,71196.37347022364,74958.96748182605
137.0,68700.84808496384,73021.6544099362,70064.31657185804,69955.73909267162,58779.379675201446,70165.53659938919,71174.76987991338,71237.39465798017,75143.60862451333
138.0,67139.00004678323,71716.61685994784,67716.40459307944,67381.70201635773,57528.22601400109,68339.79239499535,69624.34767070731,69387.33909016092,73263.04392269258
139.0,64406.30454825619,68336.90423049079,64178.41085582651,63269.94300768623,54902.83588557978,64489.96408656604,65793.11381471255,65711.84066717634,69926.69587621602
140.0,63222.53144897309,66085.20172488638,62166.98992528861,60560.782943852166,53687.81662614694,61474.180484322205,62836.92113986628,62757.28961901267,67487.93858696491
141.0,63527.36110056282,65384.64806902001,60669.44350292662,59224.07041441713,53801.86583172567,58990.35466419423,60739.47085816109,60640.59633077602,66548.72352589665
142.0,60141.92083573409,61647.64228071586,56149.92795403227,55330.07159224508,49554.944423986926,54246.4711158417,56735.06237958746,56384.64810103662,63790.84657385078
143.0,57386.60546906788,58355.36392880146,52132.461349318146,51868.24298635654,45599.356630498805,50349.85493365075,53199.24405622723,53302.931370827726,61054.315418647355
144.0,55516.69636956337,55793.86342745953,50364.00200632786,48865.38585047451,43276.59211688046,48319.66806347244,50805.359567637046,51218.02950310238,58621.96186844899
145.0,53921.45709746303,54284.812563205,49638.34239750205,47114.37060723798,42814.74929428935,47446.972505049096,50191.0989946073,50056.104359898825,56762.74296347069
